platform,category,attribute,value,value_cleaned,report_date
ushopbd.com,age,18 - 24,18.95%,0.18950000405311584,2024-04-25
ushopbd.com,intro,HQ,- -,,2024-04-25
ushopbd.com,rank,Global Rank,"#223,436",223436.0,2024-04-25
ushopbd.com,gender,Female,20.02%,0.20020000636577606,2024-04-25
shwapno.com,age,55 - 64,5%,0.05000000074505806,2024-04-25
shwapno.com,intro,HQ,"Bangladesh, Dhaka",,2024-04-25
daraz.com.bd,rank,Global Rank,"#4,125",4125.0,2024-04-25
daraz.com.bd,rank,Category Rank,#101,101.0,2024-04-25
foodpanda.com.bd,age,45 - 54,5.14%,0.05139999836683273,2024-04-25
foodpanda.com.bd,gender,Female,27.43%,0.2743000090122223,2024-04-25
shajgoj.com,intro,Company,Shajgoj,,2024-04-25
shajgoj.com,intro,HQ,"Bangladesh, -",,2024-04-25
shajgoj.com,intro,Industry,News & Media Publishers,,2024-04-25
shajgoj.com,rank,Country Rank,#68,68.0,2024-04-25
shajgoj.com,rank,Category Rank,"#2,187",2187.0,2024-04-25
shajgoj.com,last month,Pages per Visit,2.63,2.630000114440918,2024-04-25
ohsogo.com,marketing channel,Organic Search,28.95%,0.28949999809265137,2024-04-25
ushopbd.com,age,25 - 34,29.74%,0.29739999771118164,2024-04-25
ushopbd.com,intro,Annual Revenue,- -,,2024-04-25
chaldal.com,marketing channel,Direct,47.99%,0.4799000024795532,2024-04-25
chaldal.com,age,18 - 24,18.17%,0.18170000612735748,2024-04-25
chaldal.com,intro,Year Founded,2012,2012.0,2024-04-25
chaldal.com,intro,Employees,1001 - 5000,,2024-04-25
chaldal.com,last month,Total Visits,2.1M,2100000.0,2024-04-25
chaldal.com,last month,Pages per Visit,4.12,4.119999885559082,2024-04-25
shwapno.com,marketing channel,Referrals,0.26%,0.0026000000070780516,2024-04-25
shwapno.com,age,35 - 44,27.11%,0.2711000144481659,2024-04-25
daraz.com.bd,marketing channel,Direct,53.89%,0.5389000177383423,2024-04-25
